hhdi,add_line1,barangay,city,2112,province,PH,classification,remarks
10001,,APOLLO,ORANI,2113,province,PH,,
10002,,APOLLO,ORANI,2114,province,PH,,
10003,,APOLLO,ORANI,2115,province,PH,,
10004,,APOLLO,ORANI,2116,province,PH,,
10005,,APOLLO,ORANI,2117,province,PH,,
10006,,APOLLO,ORANI,2118,province,PH,,
10007,,APOLLO,ORANI,2119,province,PH,,
10008,,APOLLO,ORANI,2120,province,PH,,
10009,,APOLLO,ORANI,2121,province,PH,,
10010,,APOLLO,ORANI,2122,province,PH,,
10011,,APOLLO,ORANI,2123,province,PH,,
10012,,APOLLO,ORANI,2124,province,PH,,
10013,,APOLLO,ORANI,2125,province,PH,,
10014,,APOLLO,ORANI,2126,province,PH,,
10015,,APOLLO,ORANI,2127,province,PH,,
10016,,APOLLO,ORANI,2128,province,PH,,
10017,,APOLLO,ORANI,2129,province,PH,,
10018,,APOLLO,ORANI,2130,province,PH,,
10019,,APOLLO,ORANI,2131,province,PH,,
10020,,APOLLO,ORANI,2132,province,PH,,
10021,,APOLLO,ORANI,2133,province,PH,,
10022,,APOLLO,ORANI,2134,province,PH,,
10023,,APOLLO,ORANI,2135,province,PH,,
10024,,APOLLO,ORANI,2136,province,PH,,
10025,,APOLLO,ORANI,2137,province,PH,,
10026,,APOLLO,ORANI,2138,province,PH,,
10027,,APOLLO,ORANI,2139,province,PH,,
10028,,APOLLO,ORANI,2140,province,PH,,
10029,,APOLLO,ORANI,2141,province,PH,,
10030,,APOLLO,ORANI,2142,province,PH,,
10031,,APOLLO,ORANI,2143,province,PH,,
10032,,APOLLO,ORANI,2144,province,PH,,
10033,,APOLLO,ORANI,2145,province,PH,,
10034,,APOLLO,ORANI,2146,province,PH,,
10035,,APOLLO,ORANI,2147,province,PH,,
10036,,APOLLO,ORANI,2148,province,PH,,
10037,,APOLLO,ORANI,2149,province,PH,,
10038,,APOLLO,ORANI,2150,province,PH,,
10039,,APOLLO,ORANI,2151,province,PH,,
10040,,APOLLO,ORANI,2152,province,PH,,
10041,,APOLLO,ORANI,2153,province,PH,,
10042,,APOLLO,ORANI,2154,province,PH,,
10043,,APOLLO,ORANI,2155,province,PH,,
10044,,APOLLO,ORANI,2156,province,PH,,
10045,,APOLLO,ORANI,2157,province,PH,,
10046,,APOLLO,ORANI,2158,province,PH,,
10047,,APOLLO,ORANI,2159,province,PH,,
10048,,APOLLO,ORANI,2160,province,PH,,
10049,,APOLLO,ORANI,2161,province,PH,,
10050,,APOLLO,ORANI,2162,province,PH,,
10051,,APOLLO,ORANI,2163,province,PH,,
10052,,APOLLO,ORANI,2164,province,PH,,
10053,,APOLLO,ORANI,2165,province,PH,,
10054,,APOLLO,ORANI,2166,province,PH,,
10055,,APOLLO,ORANI,2167,province,PH,,
10056,,APOLLO,ORANI,2168,province,PH,,
10057,,APOLLO,ORANI,2169,province,PH,,
10058,,APOLLO,ORANI,2170,province,PH,,
10059,,APOLLO,ORANI,2171,province,PH,,
10060,,APOLLO,ORANI,2172,province,PH,,
10061,,APOLLO,ORANI,2173,province,PH,,
